Group,Age,Page,Region,Parent,Family,Edu,Sex,Job,School,Play,Lesson,sleep,Beh,Hyp,Emo,Peer,Pro
1,8,38,1,2,4,4,1,5,5,0.071428571,2,9,2,1,0,0,8
1,7,33,13,2,4,2,2,0,5,0.071428571,0.5,9,0,0,0,4,8
1,6,44,13,2,4,3,1,5,5,1,0.214285714,9.5,5,6,0,1,4
1,8,41,11,2,4,4,1,0,5,0.5,0.214285714,9.5,6,9,1,2,2
1,8,44,14,2,3,4,2,0,5,0.25,0.5,9.5,1,3,2,4,3
1,4,27,13,2,3,2,2,5,5,0.035714286,0,9,4,6,2,1,7
1,8,49,14,2,3,3,1,5,5,3,0.214285714,10,5,8,2,1,5
1,5,34,23,2,3,4,2,5,5,1,0.5,10,2,5,6,5,5
1,7,44,34,2,4,2,1,5,5,0.5,0.5,9,3,5,1,3,5
1,6,42,13,2,3,4,1,0,5,0.107142857,0.25,9.5,7,9,3,5,6
1,7,40,14,2,3,4,2,0,5,0.107142857,1,10,4,4,2,5,1
1,8,33,28,2,4,2,2,5,5,0.214285714,0.214285714,9.5,3,3,3,0,5
1,8,41,43,2,4,5,2,0,5,1,0.5,8.5,1,2,3,3,5
1,8,42,28,2,4,4,2,5,5,0.107142857,0.5,8.5,1,2,1,0,7
1,6,32,35,2,3,2,2,5,5,0.5,1,9.5,7,5,7,5,7
1,8,41,13,2,5,4,2,5,5,0.5,0.214285714,9,4,7,4,2,4
1,9,37,22,2,4,4,1,5,5,0.25,0.428571429,9,0,2,0,1,6
1,5,41,27,2,4,3,2,5,5,1,0.214285714,9,1,6,2,4,5
1,5,40,8,2,3,3,2,0,5,1,0.035714286,11,1,3,3,2,6
1,6,52,13,1,3,2,2,0,5,0,0,10,1,1,0,6,5
1,9,32,21,2,4,2,2,5,5,0,0,8,4,5,2,2,3
1,4,32,33,2,4,2,1,0,5,0.5,0,10.5,4,7,4,8,0
1,4,47,25,1,5,3,2,5,5,0.5,0,9,4,3,4,3,3
1,5,34,23,2,2,3,2,5,5,1,0,9.5,3,4,1,0,4
1,5,39,7,2,2,1,2,5,5,1,0,6.5,6,8,5,4,1
1,6,38,23,2,2,3,1,5,5,1,0,9,2,4,2,1,6
1,9,43,14,2,4,4,2,0,5,1,0.428571429,10.5,2,2,0,2,4
1,6,39,13,2,4,4,2,0,5,0.5,0.214285714,9.5,2,2,0,3,4
1,6,44,27,2,4,2,2,5,5,0.214285714,0,8,3,2,2,2,4
1,4,35,15,2,5,4,1,5,5,1,0,9,0,4,1,1,9
1,7,33,12,2,6,2,2,0,5,1,0.5,9.5,5,7,2,5,1
1,4,39,19,2,3,3,2,0,5,1,0.071428571,9.5,0,4,0,1,6
1,6,46,28,1,4,4,2,5,5,0.035714286,0,9.5,1,3,0,4,2
1,7,44,13,2,4,3,2,0,5,1,1.5,9,2,7,8,8,8
1,4,35,12,2,4,4,1,5,5,0.5,0,9.5,5,6,2,0,6
1,6,43,23,2,3,4,1,5,5,0.428571429,0.428571429,9,2,1,0,0,5
1,7,40,27,2,4,3,2,0,5,0.428571429,0.214285714,10.5,2,5,3,1,9
1,7,37,13,2,4,5,2,5,5,0.107142857,0.107142857,9,3,5,5,2,7
1,5,35,7,2,3,4,1,0,5,2,0.5,10,3,4,1,1,4
1,5,39,5,2,4,3,2,5,5,0.5,0.107142857,9,1,4,2,1,5
1,4,39,1,1,4,2,1,0,5,2,0,9,2,5,4,2,4
1,8,44,40,2,4,4,2,0,5,0.214285714,1,9,4,4,2,4,2
1,6,47,21,2,3,4,2,0,5,0.214285714,0.107142857,9.5,0,1,4,3,10
1,4,42,12,2,4,3,1,0,5,0.214285714,0,8.5,4,4,2,4,6
1,8,47,23,2,4,4,1,5,5,0.428571429,1,9,3,9,4,2,6
1,4,37,22,2,5,4,2,0,5,0.107142857,0,10,4,6,3,1,3
1,6,47,40,1,3,4,1,5,5,0.5,0.214285714,7.5,2,2,0,0,9
1,4,39,23,2,3,3,1,0,5,0.5,0,9.5,4,4,5,1,4
1,4,32,13,2,3,4,1,0,5,0.5,0.214285714,10,1,0,6,3,7
